epoch,train_mse_online,train_mse_eval,valid_mse,valid_mse_ema,epoch_seconds
415,0.084357,0.083540,0.077908,0.081216,712.3
416,0.085490,0.085685,0.082666,0.079449,711.8
417,0.084767,0.084186,0.079258,0.083957,710.3
418,0.084550,0.083868,0.085584,0.085522,711.4
419,0.085248,0.083819,0.082944,0.082227,713.8
420,0.084558,0.085627,0.080355,0.087306,711.0
421,0.085201,0.085296,0.086760,0.088061,709.7
422,0.084802,0.085347,0.087091,0.088112,713.7
423,0.084825,0.085617,0.088134,0.090628,713.8
424,0.084761,0.082942,0.079891,0.087250,714.1
425,0.085213,0.083892,0.083345,0.084850,712.3
426,0.085101,0.085297,0.084901,0.083505,713.2
427,0.084647,0.085424,0.086952,0.088727,712.4
428,0.084480,0.085792,0.083607,0.086862,713.2
429,0.084675,0.085352,0.084571,0.085560,712.0
430,0.085020,0.085500,0.084536,0.087141,711.0
431,0.085426,0.084850,0.088610,0.083730,314.1
