# Mass Density (g/cm^3)  Energy (eV/atom)  Total_Atom  Fe  Ge  O  Si  Ta  Ti  Zr
3.299933  -7.585693  720  0  111  480  24  0  105  0
3.299933  -7.585695  720  0  111  480  24  0  105  0
3.299933  -7.585699  720  0  111  480  24  0  105  0
3.299933  -7.585699  720  0  111  480  24  0  105  0
3.299933  -7.585703  720  0  111  480  24  0  105  0
3.299933  -7.585703  720  0  111  480  24  0  105  0
3.299933  -7.585707  720  0  111  480  24  0  105  0
3.299933  -7.585708  720  0  111  480  24  0  105  0
3.299933  -7.585712  720  0  111  480  24  0  105  0
3.299933  -7.585712  720  0  111  480  24  0  105  0
3.299933  -7.585716  720  0  111  480  24  0  105  0
3.299933  -7.585716  720  0  111  480  24  0  105  0
3.299933  -7.585720  720  0  111  480  24  0  105  0
3.299933  -7.585720  720  0  111  480  24  0  105  0
3.299933  -7.585723  720  0  111  480  24  0  105  0
3.299933  -7.585723  720  0  111  480  24  0  105  0
3.299933  -7.585726  720  0  111  480  24  0  105  0
3.299933  -7.585726  720  0  111  480  24  0  105  0
3.299933  -7.585729  720  0  111  480  24  0  105  0
3.299933  -7.585729  720  0  111  480  24  0  105  0
3.299933  -7.585731  720  0  111  480  24  0  105  0
3.299933  -7.585731  720  0  111  480  24  0  105  0
3.499891  -7.435300  720  0  111  480  24  0  105  0
3.499891  -7.368632  720  0  111  480  24  0  105  0
3.499891  -7.504193  720  0  111  480  24  0  105  0
3.499891  -7.519372  720  0  111  480  24  0  105  0
3.499891  -7.525938  720  0  111  480  24  0  105  0
3.499891  -7.537381  720  0  111  480  24  0  105  0
3.499891  -7.538037  720  0  111  480  24  0  105  0
3.499891  -7.546079  720  0  111  480  24  0  105  0
3.499891  -7.546134  720  0  111  480  24  0  105  0
3.499891  -7.551337  720  0  111  480  24  0  105  0
3.499891  -7.551388  720  0  111  480  24  0  105  0
3.499891  -7.555289  720  0  111  480  24  0  105  0
3.499891  -7.555308  720  0  111  480  24  0  105  0
3.499891  -7.558308  720  0  111  480  24  0  105  0
3.499891  -7.558308  720  0  111  480  24  0  105  0
3.499891  -7.560517  720  0  111  480  24  0  105  0
3.499891  -7.560519  720  0  111  480  24  0  105  0
3.499891  -7.562346  720  0  111  480  24  0  105  0
3.499891  -7.562347  720  0  111  480  24  0  105  0
3.499891  -7.563845  720  0  111  480  24  0  105  0
3.499891  -7.563846  720  0  111  480  24  0  105  0
3.499891  -7.565100  720  0  111  480  24  0  105  0
3.499891  -7.565119  720  0  111  480  24  0  105  0
3.499891  -7.566201  720  0  111  480  24  0  105  0
3.499891  -7.566207  720  0  111  480  24  0  105  0
3.499891  -7.567096  720  0  111  480  24  0  105  0
3.499891  -7.567096  720  0  111  480  24  0  105  0
3.499891  -7.567826  720  0  111  480  24  0  105  0
3.499891  -7.567826  720  0  111  480  24  0  105  0
3.499891  -7.568433  720  0  111  480  24  0  105  0
3.499891  -7.568433  720  0  111  480  24  0  105  0
3.499891  -7.568939  720  0  111  480  24  0  105  0
3.499891  -7.568940  720  0  111  480  24  0  105  0
3.499891  -7.569355  720  0  111  480  24  0  105  0
3.499891  -7.569356  720  0  111  480  24  0  105  0
3.499891  -7.569702  720  0  111  480  24  0  105  0
3.499891  -7.569702  720  0  111  480  24  0  105  0
3.499891  -7.569998  720  0  111  480  24  0  105  0
3.499891  -7.569998  720  0  111  480  24  0  105  0
3.499891  -7.570263  720  0  111  480  24  0  105  0
3.499891  -7.570264  720  0  111  480  24  0  105  0
3.499891  -7.570505  720  0  111  480  24  0  105  0
3.499891  -7.570507  720  0  111  480  24  0  105  0
3.499891  -7.570716  720  0  111  480  24  0  105  0
3.499891  -7.570717  720  0  111  480  24  0  105  0
3.499891  -7.570895  720  0  111  480  24  0  105  0
3.499891  -7.570895  720  0  111  480  24  0  105  0
3.499891  -7.571056  720  0  111  480  24  0  105  0
3.499891  -7.571056  720  0  111  480  24  0  105  0
3.499891  -7.571208  720  0  111  480  24  0  105  0
3.499891  -7.571210  720  0  111  480  24  0  105  0
3.499891  -7.571340  720  0  111  480  24  0  105  0
3.499891  -7.571340  720  0  111  480  24  0  105  0
3.499891  -7.571448  720  0  111  480  24  0  105  0
3.499891  -7.571448  720  0  111  480  24  0  105  0
3.499891  -7.571544  720  0  111  480  24  0  105  0
3.499891  -7.571544  720  0  111  480  24  0  105  0
3.499891  -7.571629  720  0  111  480  24  0  105  0
3.499891  -7.571629  720  0  111  480  24  0  105  0
3.499891  -7.571706  720  0  111  480  24  0  105  0
3.499891  -7.571706  720  0  111  480  24  0  105  0
3.499891  -7.571777  720  0  111  480  24  0  105  0
3.499891  -7.571777  720  0  111  480  24  0  105  0
3.499891  -7.571844  720  0  111  480  24  0  105  0
3.499891  -7.571844  720  0  111  480  24  0  105  0
3.499891  -7.571910  720  0  111  480  24  0  105  0
